Pas de temps,Gaz,Charbon,Nucl 1,Nucl 2,Demande
Pas de temps,Gaz,Charbon,Nucl 1,Nucl 2,Demande
0,70,80,0,0,150
1,90,80,0,0,170
2,100,80,0,50,230
3,100,80,0,30,210
4,100,80,0,10,190
5,60,80,0,0,140
6,100,80,0,40,220
7,100,80,0,10,190
8,100,80,0,20,200
9,0,80,10,140,230
10,100,80,0,60,240
11,100,80,0,70,250
12,100,80,47.0,2.916,230
13,100,80,10,0,190
14,70,80,0,0,150
15,90,80,0,0,170
16,100,80,0,50,230
17,0,80,0,130,210
18,100,80,0,10,190
19,60,80,0,0,140
20,100,80,0,40,220
21,100,80,0,10,190
22,100,80,0,20,200
23,100,80,0,50,230
24,100,80,0,60,240
25,100,80,0,70,250
26,100,80,0,50,230
27,100,80,0,10,190
28,70,80,0,0,150
29,90,80,0,0,170
30,100,80,50,0,230
31,100,80,30,0,210
32,100,80,10,0,190
33,60,80,0,0,140
34,100,80,40,0,220
35,100,80,10,0,190
36,100,80,20,0,200
37,100,80,50,0,230
38,100,80,60,0,240
39,100,80,70,0,250
40,100,80,50,0,230
41,100,80,10,0,190
42,70,80,0,0,150
43,90,80,0,0,170
44,100,80,50,0,230
45,100,80,30,0,210
46,100,80,10,0,190
47,60,80,0,0,140
48,100,80,40,0,220
49,100,80,10,0,190
50,100,80,20,0,200
51,100,80,50,0,230
52,100,80,60,0,240
53,100,80,70,0,250
54,100,80,50,0,230
55,100,80,10,0,190
56,70,80,0,0,150
57,90,80,0,0,170
58,100,80,50,0,230
59,0,80,130,0,210
60,100,80,10,0,190
61,0,80,60,0,140
62,100,80,0,40,220
63,100,80,10,0,190
64,100,80,20,0,200
65,100,80,50,0,230
66,100,80,60,0,240
67,100,80,70,0,250
68,100,80,50,0,230
69,100,80,10,0,190
70,0,80,0,70,150
71,90,80,0,0,170
72,100,80,0,50,230
73,100,80,0,30,210
74,100,80,10,0,190
75,0,80,60,0,140
76,100,80,40,0,220
77,100,80,0,10,190
78,100,80,20,0,200
79,100,80,0,50,230
80,100,80,60,0,240
81,100,80,37.92,32.08,250
82,100,80,50,0,230
83,100,80,10,0,190
84,0,80,70,0,150
85,90,80,0,0,170
86,100,80,50,0,230
87,100,80,30,0,210
88,100,80,10,0,190
89,0,80,60,0,140
90,100,80,40,0,220
91,100,80,10,0,190
92,100,80,20,0,200
93,100,80,50,0,230
94,100,80,0,60,240
95,100,80,0,70,250
96,100,80,0,50,230
97,100,80,0,10,190
98,70,80,0,0,150
99,90,80,0,0,170
100,100,80,0,50,230
101,100,80,0,30,210
102,100,80,0,10,190
103,60,80,0,0,140
104,100,80,0,40,220
105,100,80,0,10,190
106,100,80,0,20,200
107,100,80,0,50,230
108,100,80,60,0,240
109,100,80,70,0,250
110,100,80,50,0,230
111,100,80,10,0,190
112,70,80,0,0,150
113,90,80,0,0,170
114,100,80,50,0,230
115,100,80,30,0,210
116,100,80,10,0,190
117,60,80,0,0,140
118,100,80,40,0,220
119,100,80,10,0,190
120,100,80,20,0,200
121,100,80,50,0,230
122,100,80,60,0,240
123,100,80,70,0,250
124,100,80,50,0,230
125,0,80,110,0,190
126,70,80,0,0,150
127,90,80,0,0,170
128,100,80,50,0,230
129,100,80,30,0,210
130,100,80,10,0,190
131,60,80,0,0,140
132,0,80,0,140,220
133,100,80,0,10,190
134,35,80,0,85,200
135,10,80,0,140,230
136,100,80,0,60,240
137,30,80,0,140,250
138,100,80,0,50,230
